(59.760661,26.755621)    (47.457075,56.079988)    31.800891
(59.760661,26.755621)    (62.278453,60.973812)    34.310696
(59.760661,26.755621)    (28.941960,44.647803)    35.635972
(59.760661,26.755621)    (62.329411,43.685674)    17.123818
(62.278453,60.973812)    (47.457075,56.079988)    15.608419
(62.278453,60.973812)    (76.358147,70.166222)    16.814820
(62.278453,60.973812)    (62.329411,43.685674)    17.288214
(62.278453,60.973812)    (58.157742,92.383763)    31.679098
(25.790158,75.125049)    (58.157742,92.383763)    36.681382
(25.790158,75.125049)    (62.278453,60.973812)    39.136340
(25.790158,75.125049)    (47.457075,56.079988)    28.847351
(25.790158,75.125049)    (28.941960,44.647803)    30.639784
(28.941960,44.647803)    (47.457075,56.079988)    21.760155
(28.941960,44.647803)    (2.917582,37.299996)    27.041792
(28.941960,44.647803)    (26.284624,13.039561)    31.719748
(47.457075,56.079988)    (62.329411,43.685674)    19.359892
(58.157742,92.383763)    (76.358147,70.166222)    28.720618
(58.157742,92.383763)    (47.457075,56.079988)    37.847964
(76.358147,70.166222)    (47.457075,56.079988)    32.151110
(76.358147,70.166222)    (62.329411,43.685674)    29.967062
(2.917582,37.299996)    (47.457075,56.079988)    48.336886
(2.917582,37.299996)    (26.284624,13.039561)    33.683637
(2.917582,37.299996)    (25.790158,75.125049)    44.202821
(26.284624,13.039561)    (59.760661,26.755621)    36.177000
(26.284624,13.039561)    (62.329411,43.685674)    47.311848
