(38.151584,9.448653)    (42.513536,5.030479)    6.208614
(38.151584,9.448653)    (44.617350,11.861999)    6.901477
(38.151584,9.448653)    (41.073366,2.539590)    7.501464
(38.151584,9.448653)    (35.381885,10.635404)    3.013239
(38.151584,9.448653)    (34.022562,5.910576)    5.437537
(38.151584,9.448653)    (35.642857,4.451824)    5.591244
(38.151584,9.448653)    (34.211666,13.099819)    5.371589
(38.151584,9.448653)    (38.995791,3.484264)    6.023837
(38.151584,9.448653)    (36.969345,2.810178)    6.742924
(26.118765,64.075431)    (32.983819,63.592067)    6.882050
(26.118765,64.075431)    (24.513167,71.464637)    7.561634
(26.118765,64.075431)    (27.649119,65.518498)    2.103432
(26.118765,64.075431)    (25.526643,66.176323)    2.182740
(26.118765,64.075431)    (27.140860,68.806081)    4.839807
(26.118765,64.075431)    (31.011172,66.424737)    5.427236
(26.118765,64.075431)    (20.550400,66.828055)    6.211571
(26.118765,64.075431)    (32.022331,60.543695)    6.879336
(88.506390,10.304259)    (89.198020,3.924998)    6.416644
(88.506390,10.304259)    (91.559918,17.446797)    7.767875
(88.506390,10.304259)    (91.722113,15.032853)    5.718433
(88.506390,10.304259)    (84.297559,5.680223)    6.252677
(88.506390,10.304259)    (85.117544,16.055317)    6.675248
(88.506390,10.304259)    (85.899626,12.896180)    3.676040
(88.506390,10.304259)    (92.393847,7.409736)    4.846709
(88.506390,10.304259)    (83.575648,11.151263)    5.002962
(88.506390,10.304259)    (93.803803,10.370628)    5.297829
(28.944951,23.996399)    (28.426438,31.538732)    7.560135
(28.944951,23.996399)    (27.396512,25.271042)    2.005586
(28.944951,23.996399)    (29.864485,21.915899)    2.274647
(28.944951,23.996399)    (27.989051,28.745146)    4.844001
(28.944951,23.996399)    (24.823804,21.257022)    4.948539
(28.944951,23.996399)    (35.370161,24.012986)    6.425232
(28.944951,23.996399)    (22.214660,23.549264)    6.745127
(28.944951,23.996399)    (31.390918,30.673444)    7.110955
(74.341248,26.314402)    (72.289353,25.344547)    2.269558
(74.341248,26.314402)    (76.630177,25.152747)    2.566834
(74.341248,26.314402)    (72.059130,20.112191)    6.608743
(74.341248,26.314402)    (78.950294,21.552744)    6.626967
(74.341248,26.314402)    (81.979002,25.643385)    7.667173
(74.341248,26.314402)    (73.377765,18.605547)    7.768831
(22.290083,9.742890)    (24.722411,5.701233)    4.717119
(22.290083,9.742890)    (27.869327,6.750219)    6.331196
(22.290083,9.742890)    (17.531871,3.560491)    7.801451
(22.290083,9.742890)    (28.327909,11.791006)    6.375745
(22.290083,9.742890)    (25.476706,15.572171)    6.643425
(22.290083,9.742890)    (29.898503,9.126063)    7.633383
(22.290083,9.742890)    (24.309037,13.913402)    4.633502
(22.290083,9.742890)    (27.426418,9.194206)    5.165557
